Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,Temp_1,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum
4:08:27 PM,2,49.5,0,41.4,ON,ON,15,1,4.968,3.304,9,3.302,15,24,1,24,1,3.303,3.303,3.304,3.303,3.303,3.303,3.304,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:29 PM,3,49.5,0,41.4,ON,ON,15,1,4.968,3.304,7,3.302,15,24,1,24,1,3.303,3.303,3.304,3.303,3.303,3.303,3.304,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:30 PM,4,49.5,0,41.4,ON,ON,15,1,4.968,3.304,13,3.302,15,24,1,24,1,3.303,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:31 PM,5,49.5,0,41.4,ON,ON,15,1,4.968,3.304,7,3.302,15,24,1,24,1,3.303,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.304,3.303,3.303,3.303,3.303,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:32 PM,7,49.5,0,41.4,ON,ON,15,1,4.968,3.304,12,3.302,15,24,1,24,1,3.303,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:34 PM,8,49.5,0,41.4,ON,ON,15,1,4.968,3.303,14,3.302,15,24,1,24,1,3.303,3.303,3.303,3.303,3.303,3.303,3.304,3.303,3.303,3.303,3.303,3.304,3.303,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:35 PM,9,49.5,0,41.4,ON,ON,15,1,4.968,3.303,14,3.302,15,24,1,24,1,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.303,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:36 PM,10,49.5,0,41.4,ON,ON,15,1,4.968,3.303,13,3.302,1,24,1,24,1,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:37 PM,11,49.5,0,41.4,ON,ON,15,1,4.968,3.303,13,3.302,1,24,1,24,1,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:08:38 PM,12,49.5,0,41.4,ON,ON,15,1,4.968,3.303,7,3.302,1,24,1,24,1,3.302,3.302,3.302,3.302,3.302,3.302,3.303,3.302,3.302,3.302,3.302,3.302,3.302,3.302,3.302,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
