Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,Temp_1,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum
4:43:41 PM,15,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:42 PM,16,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.256,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:43 PM,17,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:44 PM,18,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:45 PM,19,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:46 PM,20,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:47 PM,21,48.8,0,28.8,ON,ON,15,1,3.456,3.259,15,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:49 PM,22,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:50 PM,24,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.255,3.257,3.257,3.257,3.239,3.249,3.245,3.255,3.258,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:51 PM,25,48.8,0,28.8,ON,ON,15,1,3.456,3.259,15,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.256,3.257,3.257,3.257,3.239,3.249,3.246,3.255,3.259,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:52 PM,26,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.239,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.257,3.257,3.257,3.257,3.24,3.249,3.246,3.255,3.259,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:53 PM,27,48.8,0,28.8,ON,ON,15,1,3.456,3.259,15,3.24,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.257,3.257,3.257,3.257,3.24,3.249,3.246,3.255,3.259,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:54 PM,28,48.8,0,28.8,ON,ON,15,1,3.456,3.259,15,3.24,11,24,1,24,1,3.253,3.257,3.259,3.257,3.259,3.257,3.257,3.257,3.257,3.257,3.241,3.249,3.246,3.255,3.259,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:55 PM,29,48.8,0,28.8,ON,ON,15,1,3.456,3.259,5,3.241,11,24,1,24,1,3.251,3.255,3.257,3.254,3.257,3.255,3.255,3.255,3.255,3.255,3.239,3.247,3.244,3.253,3.256,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:56 PM,30,48.6,-1.5,28.8,ON,ON,15,1,3.456,3.251,3,3.231,11,24,1,24,1,3.236,3.242,3.245,3.242,3.244,3.242,3.242,3.243,3.244,3.243,3.226,3.235,3.231,3.242,3.243,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:57 PM,31,48.5,-2.2,28.8,ON,ON,15,1,3.456,3.244,9,3.226,11,24,1,24,1,3.234,3.24,3.244,3.24,3.243,3.241,3.24,3.241,3.242,3.242,3.224,3.232,3.231,3.242,3.243,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:58 PM,32,48.5,-2.2,28.7,ON,ON,15,1,3.444,3.243,3,3.224,11,24,1,24,1,3.234,3.24,3.244,3.24,3.243,3.241,3.24,3.241,3.242,3.242,3.224,3.232,3.23,3.24,3.242,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:43:59 PM,33,48.5,-2.2,28.7,ON,ON,15,1,3.444,3.242,9,3.222,11,24,1,24,1,3.232,3.238,3.242,3.238,3.242,3.24,3.238,3.24,3.242,3.24,3.222,3.231,3.228,3.24,3.24,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:01 PM,35,48.5,-2.2,28.7,ON,ON,15,1,3.444,3.24,9,3.22,11,24,1,24,1,3.23,3.236,3.24,3.238,3.24,3.236,3.236,3.238,3.24,3.238,3.22,3.228,3.226,3.238,3.238,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:02 PM,36,48.5,-2.2,28.7,ON,ON,15,1,3.444,3.24,9,3.218,11,24,1,24,1,3.23,3.236,3.24,3.236,3.24,3.236,3.236,3.236,3.24,3.238,3.218,3.228,3.226,3.238,3.238,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:03 PM,37,48.5,-2.2,28.7,ON,ON,15,1,3.444,3.24,9,3.218,11,24,1,24,1,3.228,3.236,3.24,3.236,3.24,3.236,3.235,3.236,3.238,3.236,3.218,3.228,3.226,3.236,3.238,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:04 PM,38,48.5,-2.2,28.7,ON,ON,15,1,3.444,3.24,3,3.218,11,24,1,24,1,3.228,3.234,3.24,3.236,3.238,3.236,3.234,3.236,3.238,3.236,3.218,3.226,3.224,3.236,3.236,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:05 PM,39,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.24,3,3.218,11,24,1,24,1,3.228,3.234,3.238,3.234,3.238,3.234,3.234,3.236,3.238,3.236,3.216,3.226,3.224,3.236,3.236,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:06 PM,40,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.238,9,3.216,11,24,1,24,1,3.227,3.234,3.238,3.234,3.238,3.234,3.234,3.234,3.238,3.235,3.216,3.226,3.224,3.236,3.236,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:07 PM,41,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.238,9,3.216,11,24,1,24,1,3.226,3.232,3.238,3.234,3.236,3.233,3.232,3.234,3.236,3.234,3.216,3.226,3.223,3.234,3.236,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:08 PM,42,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.238,3,3.216,11,24,1,24,1,3.226,3.232,3.238,3.234,3.236,3.232,3.232,3.234,3.236,3.234,3.214,3.224,3.222,3.234,3.236,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:09 PM,43,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.238,3,3.214,11,24,1,24,1,3.226,3.232,3.236,3.232,3.236,3.232,3.232,3.234,3.236,3.234,3.214,3.224,3.222,3.234,3.234,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:10 PM,44,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,9,3.214,11,24,1,24,1,3.226,3.232,3.236,3.232,3.236,3.232,3.232,3.234,3.236,3.234,3.214,3.224,3.222,3.234,3.234,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:11 PM,46,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,9,3.214,11,24,1,24,1,3.226,3.231,3.236,3.232,3.236,3.232,3.232,3.232,3.236,3.232,3.214,3.224,3.222,3.234,3.234,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:13 PM,47,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,5,3.213,11,24,1,24,1,3.224,3.23,3.236,3.232,3.236,3.23,3.23,3.232,3.236,3.232,3.214,3.223,3.22,3.232,3.234,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:14 PM,48,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,3,3.212,11,24,1,24,1,3.224,3.23,3.236,3.232,3.234,3.23,3.23,3.232,3.234,3.232,3.212,3.222,3.22,3.232,3.234,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:15 PM,49,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,3,3.212,11,24,1,24,1,3.224,3.23,3.236,3.232,3.234,3.23,3.23,3.232,3.234,3.232,3.212,3.222,3.22,3.232,3.234,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:16 PM,50,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,3,3.212,11,24,1,24,1,3.224,3.23,3.236,3.23,3.234,3.23,3.23,3.23,3.234,3.232,3.212,3.222,3.22,3.232,3.232,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:17 PM,51,48.4,-2.2,28.7,ON,ON,15,1,3.444,3.236,3,3.212,11,24,1,24,1,3.216,3.223,3.229,3.225,3.228,3.224,3.223,3.225,3.229,3.225,3.207,3.217,3.215,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:18 PM,52,48.2,-3.9,28.7,ON,ON,15,1,3.444,3.223,9,3.2,11,24,1,24,1,3.204,3.212,3.219,3.214,3.218,3.214,3.214,3.215,3.22,3.216,3.196,3.207,3.205,3.218,3.216,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:19 PM,53,48.1,-4.3,28.5,ON,ON,15,1,3.42,3.219,9,3.196,11,24,1,24,1,3.202,3.21,3.218,3.212,3.216,3.212,3.212,3.214,3.218,3.214,3.194,3.204,3.202,3.216,3.214,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:20 PM,54,48.1,-4.3,28.5,ON,ON,15,1,3.42,3.218,9,3.193,11,24,1,24,1,3.202,3.209,3.216,3.212,3.215,3.21,3.211,3.212,3.216,3.214,3.192,3.204,3.202,3.214,3.214,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:21 PM,55,48.1,-4.3,28.5,ON,ON,15,1,3.42,3.216,9,3.192,11,24,1,24,1,3.202,3.21,3.216,3.212,3.216,3.211,3.212,3.212,3.218,3.214,3.193,3.204,3.202,3.216,3.214,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:22 PM,56,48.2,-2.8,28.5,ON,ON,15,1,3.42,3.224,9,3.198,11,24,1,24,1,3.202,3.21,3.216,3.212,3.216,3.211,3.212,3.212,3.218,3.214,3.193,3.204,3.202,3.216,3.214,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:23 PM,58,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,3,3.203,11,24,1,24,1,3.215,3.222,3.228,3.223,3.227,3.221,3.221,3.223,3.227,3.223,3.203,3.213,3.212,3.225,3.225,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:24 PM,59,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,5,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.228,3.222,3.223,3.225,3.227,3.225,3.205,3.215,3.213,3.225,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:27 PM,60,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.213,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:28 PM,61,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.213,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:29 PM,62,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:30 PM,63,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:31 PM,64,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.226,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:32 PM,65,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.226,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:33 PM,66,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:34 PM,67,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:35 PM,69,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:36 PM,70,48.3,-2.2,28.5,ON,ON,15,1,3.42,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:37 PM,71,48.3,-2.2,28.5,ON,ON,15,1,3.408,3.229,9,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.223,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.227,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:44:39 PM,72,48.3,-2.2,28.4,ON,ON,15,1,3.408,3.229,5,3.205,11,24,1,24,1,3.217,3.223,3.229,3.225,3.229,3.222,3.223,3.225,3.229,3.225,3.205,3.215,3.214,3.226,3.227,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
